{'num_neurons': 8, 'unit_c1': 3, 'unit_c2': 5, 'dr_f': 0.4141006253868248, 'learning_rate': 0.0009134924272615968, 'batch_size': 32, 'optimizer': 'Adam', 'activation': 'relu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 17, 'new_fc_2': 3, 'new_fc_3': 26, 'new_fc_4': 15, 'new_fc_5': 24, 'new_fc_6': 20, 'new_fc_7': 21, 'new_fc_8': 12, 'new_fc_9': 8, 'new_fc_10': 1}
{'num_neurons': 16, 'unit_c1': 2, 'unit_c2': 4, 'dr_f': 0.2825260671731866, 'learning_rate': 0.0005943175835028187, 'batch_size': 16, 'optimizer': 'Adadelta', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': True, 'new_fc_1': 0, 'new_fc_2': 12, 'new_fc_3': 1, 'new_fc_4': 21, 'new_fc_5': 15, 'new_fc_6': 9, 'new_fc_7': 26, 'new_fc_8': 4, 'new_fc_9': 32, 'new_fc_10': 20}
{'num_neurons': 16, 'unit_c1': 3, 'unit_c2': 1, 'dr_f': 0.49001933037042567, 'learning_rate': 0.0002975925733832869, 'batch_size': 8, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': True, 'new_fc_1': 22, 'new_fc_2': 11, 'new_fc_3': 21, 'new_fc_4': 6, 'new_fc_5': 0, 'new_fc_6': 3, 'new_fc_7': 6, 'new_fc_8': 17, 'new_fc_9': 16, 'new_fc_10': 14}
{'num_neurons': 64, 'unit_c1': 3, 'unit_c2': 6, 'dr_f': 0.4987457862551381, 'learning_rate': 0.0007906507130472024, 'batch_size': 64, 'optimizer': 'Adamax', 'activation': 'relu', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 11, 'new_fc_2': 16, 'new_fc_3': 13, 'new_fc_4': 20, 'new_fc_5': 0, 'new_fc_6': 20, 'new_fc_7': 24, 'new_fc_8': 2, 'new_fc_9': 29, 'new_fc_10': 17}
{'num_neurons': 16, 'unit_c1': 1, 'unit_c2': 6, 'dr_f': 0.3424396480051868, 'learning_rate': 0.0005618019813277478, 'batch_size': 8, 'optimizer': 'SGD', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 2, 'new_fc_2': 10, 'new_fc_3': 20, 'new_fc_4': 31, 'new_fc_5': 21, 'new_fc_6': 30, 'new_fc_7': 22, 'new_fc_8': 0, 'new_fc_9': 17, 'new_fc_10': 26}
{'num_neurons': 64, 'unit_c1': 3, 'unit_c2': 6, 'dr_f': 0.4987457862551381, 'learning_rate': 0.0007906507130472024, 'batch_size': 64, 'optimizer': 'Adamax', 'activation': 'relu', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 11, 'new_fc_2': 16, 'new_fc_3': 13, 'new_fc_4': 20, 'new_fc_5': 0, 'new_fc_6': 20, 'new_fc_7': 24, 'new_fc_8': 2, 'new_fc_9': 29, 'new_fc_10': 17}
{'num_neurons': 8, 'unit_c1': 1, 'unit_c2': 3, 'dr_f': 0.07208847013351771, 'learning_rate': 0.00073515050729091, 'batch_size': 64, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 27, 'new_fc_2': 14, 'new_fc_3': 29, 'new_fc_4': 19, 'new_fc_5': 18, 'new_fc_6': 3, 'new_fc_7': 24, 'new_fc_8': 29, 'new_fc_9': 25, 'new_fc_10': 25}
{'num_neurons': 16, 'unit_c1': 3, 'unit_c2': 1, 'dr_f': 0.49001933037042567, 'learning_rate': 0.0002975925733832869, 'batch_size': 8, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': True, 'new_fc_1': 22, 'new_fc_2': 11, 'new_fc_3': 21, 'new_fc_4': 6, 'new_fc_5': 0, 'new_fc_6': 3, 'new_fc_7': 6, 'new_fc_8': 17, 'new_fc_9': 16, 'new_fc_10': 14}
{'num_neurons': 16, 'unit_c1': 2, 'unit_c2': 4, 'dr_f': 0.2825260671731866, 'learning_rate': 0.0005943175835028187, 'batch_size': 16, 'optimizer': 'Adadelta', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': True, 'new_fc_1': 0, 'new_fc_2': 12, 'new_fc_3': 1, 'new_fc_4': 21, 'new_fc_5': 15, 'new_fc_6': 9, 'new_fc_7': 26, 'new_fc_8': 4, 'new_fc_9': 32, 'new_fc_10': 20}
{'num_neurons': 16, 'unit_c1': 1, 'unit_c2': 6, 'dr_f': 0.3424396480051868, 'learning_rate': 0.0005618019813277478, 'batch_size': 8, 'optimizer': 'SGD', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 2, 'new_fc_2': 10, 'new_fc_3': 20, 'new_fc_4': 31, 'new_fc_5': 21, 'new_fc_6': 30, 'new_fc_7': 22, 'new_fc_8': 0, 'new_fc_9': 17, 'new_fc_10': 26}
{'num_neurons': 16, 'unit_c1': 4, 'unit_c2': 3, 'dr_f': 0.35908112592800356, 'learning_rate': 0.00069977016935707, 'batch_size': 64, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 29, 'new_fc_2': 30, 'new_fc_3': 29, 'new_fc_4': 20, 'new_fc_5': 31, 'new_fc_6': 2, 'new_fc_7': 7, 'new_fc_8': 8, 'new_fc_9': 15, 'new_fc_10': 8}
{'num_neurons': 16, 'unit_c1': 4, 'unit_c2': 3, 'dr_f': 0.35908112592800356, 'learning_rate': 0.00069977016935707, 'batch_size': 64, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 29, 'new_fc_2': 30, 'new_fc_3': 29, 'new_fc_4': 20, 'new_fc_5': 31, 'new_fc_6': 2, 'new_fc_7': 7, 'new_fc_8': 8, 'new_fc_9': 15, 'new_fc_10': 8}
{'num_neurons': 32, 'unit_c1': 1, 'unit_c2': 2, 'dr_f': 0.22254850292954254, 'learning_rate': 0.0007538941867221709, 'batch_size': 8, 'optimizer': 'Adamax', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 20, 'new_fc_2': 19, 'new_fc_3': 29, 'new_fc_4': 26, 'new_fc_5': 22, 'new_fc_6': 28, 'new_fc_7': 4, 'new_fc_8': 5, 'new_fc_9': 5, 'new_fc_10': 21}
{'num_neurons': 32, 'unit_c1': 1, 'unit_c2': 2, 'dr_f': 0.22254850292954254, 'learning_rate': 0.0007538941867221709, 'batch_size': 8, 'optimizer': 'Adamax', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 20, 'new_fc_2': 19, 'new_fc_3': 29, 'new_fc_4': 26, 'new_fc_5': 22, 'new_fc_6': 28, 'new_fc_7': 4, 'new_fc_8': 5, 'new_fc_9': 5, 'new_fc_10': 21}
{'num_neurons': 8, 'unit_c1': 2, 'unit_c2': 8, 'dr_f': 0.23472453214731515, 'learning_rate': 0.0006444002402823312, 'batch_size': 32, 'optimizer': 'Adam', 'activation': 'selu', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': True, 'new_fc_1': 27, 'new_fc_2': 13, 'new_fc_3': 7, 'new_fc_4': 15, 'new_fc_5': 17, 'new_fc_6': 25, 'new_fc_7': 19, 'new_fc_8': 8, 'new_fc_9': 0, 'new_fc_10': 24}
{'num_neurons': 32, 'unit_c1': 4, 'unit_c2': 8, 'dr_f': 0.22567212274055642, 'learning_rate': 0.0008769469862463232, 'batch_size': 32, 'optimizer': 'Adamax', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 18, 'new_fc_2': 22, 'new_fc_3': 17, 'new_fc_4': 22, 'new_fc_5': 9, 'new_fc_6': 1, 'new_fc_7': 15, 'new_fc_8': 4, 'new_fc_9': 20, 'new_fc_10': 16}
{'num_neurons': 8, 'unit_c1': 2, 'unit_c2': 8, 'dr_f': 0.23472453214731515, 'learning_rate': 0.0006444002402823312, 'batch_size': 32, 'optimizer': 'Adam', 'activation': 'selu', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': True, 'new_fc_1': 27, 'new_fc_2': 13, 'new_fc_3': 7, 'new_fc_4': 15, 'new_fc_5': 17, 'new_fc_6': 25, 'new_fc_7': 19, 'new_fc_8': 8, 'new_fc_9': 0, 'new_fc_10': 24}
{'num_neurons': 64, 'unit_c1': 3, 'unit_c2': 5, 'dr_f': 0.15139138738716534, 'learning_rate': 0.0006855073334333476, 'batch_size': 8, 'optimizer': 'Adamax', 'activation': 'elu', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 32, 'new_fc_2': 25, 'new_fc_3': 24, 'new_fc_4': 23, 'new_fc_5': 6, 'new_fc_6': 23, 'new_fc_7': 13, 'new_fc_8': 18, 'new_fc_9': 3, 'new_fc_10': 15}
{'num_neurons': 32, 'unit_c1': 3, 'unit_c2': 1, 'dr_f': 0.2390517124589473, 'learning_rate': 0.00014130810871101852, 'batch_size': 8, 'optimizer': 'SGD', 'activation': 'relu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 14, 'new_fc_2': 0, 'new_fc_3': 3, 'new_fc_4': 9, 'new_fc_5': 30, 'new_fc_6': 17, 'new_fc_7': 26, 'new_fc_8': 3, 'new_fc_9': 16, 'new_fc_10': 13}
{'num_neurons': 32, 'unit_c1': 3, 'unit_c2': 1, 'dr_f': 0.2390517124589473, 'learning_rate': 0.00014130810871101852, 'batch_size': 8, 'optimizer': 'SGD', 'activation': 'relu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 14, 'new_fc_2': 0, 'new_fc_3': 3, 'new_fc_4': 9, 'new_fc_5': 30, 'new_fc_6': 17, 'new_fc_7': 26, 'new_fc_8': 3, 'new_fc_9': 16, 'new_fc_10': 13}
{'num_neurons': 64, 'unit_c1': 2, 'unit_c2': 2, 'dr_f': 0.24426448961292582, 'learning_rate': 0.0007251998763181168, 'batch_size': 8, 'optimizer': 'SGD', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 14, 'new_fc_2': 26, 'new_fc_3': 20, 'new_fc_4': 9, 'new_fc_5': 14, 'new_fc_6': 19, 'new_fc_7': 25, 'new_fc_8': 28, 'new_fc_9': 21, 'new_fc_10': 1}
{'num_neurons': 64, 'unit_c1': 3, 'unit_c2': 4, 'dr_f': 0.400659293921242, 'learning_rate': 0.00035167383284348736, 'batch_size': 64, 'optimizer': 'Adagrad', 'activation': 'elu', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 6, 'new_fc_2': 6, 'new_fc_3': 22, 'new_fc_4': 1, 'new_fc_5': 30, 'new_fc_6': 29, 'new_fc_7': 1, 'new_fc_8': 1, 'new_fc_9': 8, 'new_fc_10': 7}
{'num_neurons': 64, 'unit_c1': 2, 'unit_c2': 6, 'dr_f': 0.06804517238749022, 'learning_rate': 0.0008469147109325725, 'batch_size': 16, 'optimizer': 'Adamax', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 3, 'new_fc_2': 10, 'new_fc_3': 6, 'new_fc_4': 28, 'new_fc_5': 14, 'new_fc_6': 12, 'new_fc_7': 2, 'new_fc_8': 27, 'new_fc_9': 14, 'new_fc_10': 25}
{'num_neurons': 8, 'unit_c1': 1, 'unit_c2': 4, 'dr_f': 0.13133411991887545, 'learning_rate': 0.00017027917365566105, 'batch_size': 16, 'optimizer': 'Adadelta', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 6, 'new_fc_2': 1, 'new_fc_3': 17, 'new_fc_4': 24, 'new_fc_5': 20, 'new_fc_6': 15, 'new_fc_7': 28, 'new_fc_8': 9, 'new_fc_9': 10, 'new_fc_10': 29}
{'num_neurons': 32, 'unit_c1': 4, 'unit_c2': 1, 'dr_f': 0.4264166014054902, 'learning_rate': 0.000697272437219196, 'batch_size': 16, 'optimizer': 'Adadelta', 'activation': 'selu', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 23, 'new_fc_2': 7, 'new_fc_3': 27, 'new_fc_4': 2, 'new_fc_5': 25, 'new_fc_6': 32, 'new_fc_7': 8, 'new_fc_8': 28, 'new_fc_9': 16, 'new_fc_10': 17}
{'num_neurons': 8, 'unit_c1': 1, 'unit_c2': 7, 'dr_f': 0.1554123184394507, 'learning_rate': 0.0003932908597077908, 'batch_size': 32, 'optimizer': 'Adagrad', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 10, 'new_fc_2': 23, 'new_fc_3': 32, 'new_fc_4': 18, 'new_fc_5': 27, 'new_fc_6': 22, 'new_fc_7': 19, 'new_fc_8': 30, 'new_fc_9': 1, 'new_fc_10': 10}
{'num_neurons': 4, 'unit_c1': 1, 'unit_c2': 1, 'dr_f': 0.22184827933157986, 'learning_rate': 0.0006722066913209458, 'batch_size': 16, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 14, 'new_fc_2': 7, 'new_fc_3': 6, 'new_fc_4': 24, 'new_fc_5': 18, 'new_fc_6': 8, 'new_fc_7': 13, 'new_fc_8': 15, 'new_fc_9': 3, 'new_fc_10': 28}
{'num_neurons': 32, 'unit_c1': 2, 'unit_c2': 5, 'dr_f': 0.21443916240019767, 'learning_rate': 0.0007439142646940153, 'batch_size': 64, 'optimizer': 'Adagrad', 'activation': 'selu', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 26, 'new_fc_2': 13, 'new_fc_3': 4, 'new_fc_4': 3, 'new_fc_5': 29, 'new_fc_6': 32, 'new_fc_7': 14, 'new_fc_8': 20, 'new_fc_9': 13, 'new_fc_10': 32}
{'num_neurons': 16, 'unit_c1': 2, 'unit_c2': 2, 'dr_f': 0.20812308574129829, 'learning_rate': 0.00042380822027540265, 'batch_size': 64, 'optimizer': 'SGD', 'activation': 'elu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 24, 'new_fc_2': 32, 'new_fc_3': 27, 'new_fc_4': 11, 'new_fc_5': 5, 'new_fc_6': 9, 'new_fc_7': 12, 'new_fc_8': 1, 'new_fc_9': 5, 'new_fc_10': 31}
{'num_neurons': 16, 'unit_c1': 2, 'unit_c2': 8, 'dr_f': 0.26957441500246826, 'learning_rate': 0.0007386457747105897, 'batch_size': 32, 'optimizer': 'SGD', 'activation': 'relu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 3, 'new_fc_2': 29, 'new_fc_3': 19, 'new_fc_4': 28, 'new_fc_5': 19, 'new_fc_6': 15, 'new_fc_7': 8, 'new_fc_8': 6, 'new_fc_9': 2, 'new_fc_10': 17}
{'num_neurons': 8, 'unit_c1': 1, 'unit_c2': 1, 'dr_f': 0.1453894331592121, 'learning_rate': 0.0006784336786344417, 'batch_size': 64, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 26, 'new_fc_2': 27, 'new_fc_3': 16, 'new_fc_4': 11, 'new_fc_5': 4, 'new_fc_6': 29, 'new_fc_7': 27, 'new_fc_8': 28, 'new_fc_9': 28, 'new_fc_10': 0}
{'num_neurons': 64, 'unit_c1': 2, 'unit_c2': 2, 'dr_f': 0.24426448961292582, 'learning_rate': 0.0007251998763181168, 'batch_size': 8, 'optimizer': 'SGD', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 14, 'new_fc_2': 26, 'new_fc_3': 20, 'new_fc_4': 9, 'new_fc_5': 14, 'new_fc_6': 19, 'new_fc_7': 25, 'new_fc_8': 28, 'new_fc_9': 21, 'new_fc_10': 1}
{'num_neurons': 8, 'unit_c1': 4, 'unit_c2': 6, 'dr_f': 0.45810886195454725, 'learning_rate': 0.0003940311213345709, 'batch_size': 32, 'optimizer': 'Adagrad', 'activation': 'selu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 28, 'new_fc_2': 20, 'new_fc_3': 11, 'new_fc_4': 7, 'new_fc_5': 11, 'new_fc_6': 30, 'new_fc_7': 8, 'new_fc_8': 5, 'new_fc_9': 19, 'new_fc_10': 4}
{'num_neurons': 16, 'unit_c1': 1, 'unit_c2': 1, 'dr_f': 0.13846586957660634, 'learning_rate': 0.0007509396968270131, 'batch_size': 64, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 27, 'new_fc_2': 20, 'new_fc_3': 20, 'new_fc_4': 31, 'new_fc_5': 11, 'new_fc_6': 23, 'new_fc_7': 5, 'new_fc_8': 27, 'new_fc_9': 11, 'new_fc_10': 26}
{'num_neurons': 8, 'unit_c1': 3, 'unit_c2': 6, 'dr_f': 0.17127916119800987, 'learning_rate': 0.0003452357722500421, 'batch_size': 32, 'optimizer': 'Adagrad', 'activation': 'swish', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 2, 'new_fc_2': 17, 'new_fc_3': 24, 'new_fc_4': 4, 'new_fc_5': 7, 'new_fc_6': 29, 'new_fc_7': 29, 'new_fc_8': 2, 'new_fc_9': 17, 'new_fc_10': 31}
{'num_neurons': 8, 'unit_c1': 1, 'unit_c2': 1, 'dr_f': 0.1453894331592121, 'learning_rate': 0.0006784336786344417, 'batch_size': 64, 'optimizer': 'Adam', 'activation': 'swish', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 26, 'new_fc_2': 27, 'new_fc_3': 16, 'new_fc_4': 11, 'new_fc_5': 4, 'new_fc_6': 29, 'new_fc_7': 27, 'new_fc_8': 28, 'new_fc_9': 28, 'new_fc_10': 0}
{'num_neurons': 4, 'unit_c1': 2, 'unit_c2': 1, 'dr_f': 0.2795552105899926, 'learning_rate': 0.0005432467130994756, 'batch_size': 16, 'optimizer': 'Adagrad', 'activation': 'selu', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 23, 'new_fc_2': 17, 'new_fc_3': 6, 'new_fc_4': 17, 'new_fc_5': 25, 'new_fc_6': 4, 'new_fc_7': 20, 'new_fc_8': 15, 'new_fc_9': 19, 'new_fc_10': 14}
{'num_neurons': 32, 'unit_c1': 2, 'unit_c2': 5, 'dr_f': 0.13126089717374056, 'learning_rate': 0.000316500350329388, 'batch_size': 32, 'optimizer': 'Adam', 'activation': 'elu', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 26, 'new_fc_2': 3, 'new_fc_3': 23, 'new_fc_4': 4, 'new_fc_5': 4, 'new_fc_6': 2, 'new_fc_7': 32, 'new_fc_8': 1, 'new_fc_9': 3, 'new_fc_10': 15}
{'num_neurons': 4, 'unit_c1': 1, 'unit_c2': 2, 'dr_f': 0.2886273925863738, 'learning_rate': 0.0002629601090113585, 'batch_size': 32, 'optimizer': 'SGD', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 8, 'new_fc_2': 30, 'new_fc_3': 13, 'new_fc_4': 3, 'new_fc_5': 30, 'new_fc_6': 1, 'new_fc_7': 20, 'new_fc_8': 1, 'new_fc_9': 19, 'new_fc_10': 16}
{'num_neurons': 16, 'unit_c1': 2, 'unit_c2': 5, 'dr_f': 0.3030785391204841, 'learning_rate': 0.00046823725393482503, 'batch_size': 64, 'optimizer': 'SGD', 'activation': 'selu', 'data_augmentation': False, 'reg_l2': True, 'skip_connection': True, 'new_fc_1': 29, 'new_fc_2': 9, 'new_fc_3': 27, 'new_fc_4': 20, 'new_fc_5': 25, 'new_fc_6': 32, 'new_fc_7': 17, 'new_fc_8': 18, 'new_fc_9': 15, 'new_fc_10': 22}
{'num_neurons': 16, 'unit_c1': 1, 'unit_c2': 5, 'dr_f': 0.37762146137281305, 'learning_rate': 0.0004712650260335493, 'batch_size': 64, 'optimizer': 'Adadelta', 'activation': 'elu', 'data_augmentation': True, 'reg_l2': True, 'skip_connection': False, 'new_fc_1': 5, 'new_fc_2': 2, 'new_fc_3': 24, 'new_fc_4': 7, 'new_fc_5': 4, 'new_fc_6': 9, 'new_fc_7': 6, 'new_fc_8': 32, 'new_fc_9': 27, 'new_fc_10': 32}
{'num_neurons': 4, 'unit_c1': 2, 'unit_c2': 1, 'dr_f': 0.2795552105899926, 'learning_rate': 0.0005432467130994756, 'batch_size': 16, 'optimizer': 'Adagrad', 'activation': 'selu', 'data_augmentation': False, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 23, 'new_fc_2': 17, 'new_fc_3': 6, 'new_fc_4': 17, 'new_fc_5': 25, 'new_fc_6': 4, 'new_fc_7': 20, 'new_fc_8': 15, 'new_fc_9': 19, 'new_fc_10': 14}
{'num_neurons': 4, 'unit_c1': 1, 'unit_c2': 2, 'dr_f': 0.2886273925863738, 'learning_rate': 0.0002629601090113585, 'batch_size': 32, 'optimizer': 'SGD', 'activation': 'swish', 'data_augmentation': True, 'reg_l2': False, 'skip_connection': False, 'new_fc_1': 8, 'new_fc_2': 30, 'new_fc_3': 13, 'new_fc_4': 3, 'new_fc_5': 30, 'new_fc_6': 1, 'new_fc_7': 20, 'new_fc_8': 1, 'new_fc_9': 19, 'new_fc_10': 16}
